"TABLE 9: Scottish Banks, Bankers and Banking Companies, 1810–30",,,,,
,Date of founding,Date of ending if 1830 or before,,,
I. Edinburgh,,,,,
(a) Public Banks,,,,,
The Bank of Scotland,1695,,,,
The Royal Bank of Scotland,1727,,,,
The British Linen Co,1746,,,,
(b) Joint-Stock Banks,,,,,
Commercial Bank of Scotland,1810,,,,
National Bank of Scotland,1825,,,,
Wm Alexander and Sons c1730’s,,,,,
(c) Private Bankers,,,,,
(i) Larger,,,,,
Sir Wm Forbes & Co,c1730’s,,,,
"Ramsays Bonars & Co (successors to Mansfield, Bonars & Co)",c1730’s,,,,
Thomas Kinnear & Co,1756,,,,
(ii) Lesser,,,,,
Donald Smith & Co,1773,,,,
"Inglis, Borthwick",1805,,,,
Robert Allan & Son,1776,,,,
Alexander Allan & Co,c1776,,,,
David Patterson,1803,Sequestrated 1813,,,
II. Glasgow,,,,,
(a) Provincial Banking Companies,,,,,
Ship Bank,1749,,,,
Thistle Bank,1761,,,,
Glasgow Bank,1809,,,,
(b) Private Bankers,,,,,
J. & R. Watson & Co.,c1763,,,,
(c) Joint-Stock Banks,,,,,
Glasgow Union Bank,1830,,,,
III. Secondary Burghs,,,,,
(a) Provincial Banking Companies,,,,,
The Banking Co of Aberdeen,1767,,,,
The Commercial Bank of Aberdeen,1778,,,,
"John Maberly & Co, Aberdeen",1818,,,,
Perth Banking Co,1766,,,,
Dundee Banking Co,1763,,,,
Dundee New Bank,1802,,,,
Dundee Union Bank,1809,,,,
Dundee Commercial Bank (No 2),1825,,,,
Paisley Banking Co,1783,,,,
Paisley Union Bank,1788,,,,
Perth Union Banking Co.,1810,,,,
"Renfrewshire Banking Co, Greenock",1802,,,,
Greenock Banking Cos,1785,,,,
Leith Banking Co,1792,,,,
Stirling Banking Co,1777,failed 1825,,,
(b) Joint-Stock Banks,,,,,
Aberdeen Town & County Bank,1825,,,,
IV. Lesser Burghs,,,,,
(a) Provincial Banking Companies,,,,,
Cupar Banking Co,1802,retired 1811,,,
East Lothian Banking Co,1810,retired 1822,,,
Falkirk Banking Co,1787,retired 1825,,,
Falkirk Union Banking Co,1802,retired 1816,,,
"Fife Banking Co, Cupar",1802,wound up 1825,,,
"Galloway Banking Co, Castle Douglas",1806,wound up 1821,,,
"Hunters & Co, Ayr",1773,,,,
Kilmarnock Banking Co,1802,"to Hunters & Co, Ayr 1821",,,
"Caithness Banking Co, Wick",1812,"to Commercial Bank, 1826",,,
Montrose Banking Co,1814,ended 1829,,,
Shetland Banking Co,1821,,,,
Arbroath Banking Co,1825,,,,
Ayrshire Banking Co,1830,,,,
Summary,,,,,
Number trading in 1810,38,,,,
Began 1810-30,10,,,,
Ended 1810-30,12,,,,
Total trading 31 December 1830,36,,,,
,,,,,
,Public Banks,Joint-Stock Banks,Private Bankers,Banking Companies,Total
Edinburgh,3,2,7,-,12
Glasgow,-,1,1,3,5
Secondary burghs,-,1,-,14,15
Lesser burghs,-,-,-,4,4
,3,4,8,21,36
